scrape_datetime,Startinterval,Endinterval,Stufe,Anlagen
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098893046
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098894614
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1098902988
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,30,C1001249351
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,50,C1001233619
2025-04-28T14:56:52Z,"23.04.2025, 08:00 Uhr","23.04.2025, 09:00 Uhr",20,C1001234956
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr","23.04.2025, 10:15 Uhr",0,C1001234956
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr","23.04.2025, 10:15 Uhr",0,C1098817484
2025-04-28T14:56:52Z,"23.04.2025, 10:15 Uhr",,0,C1001201260
2025-04-28T14:56:52Z,"23.04.2025, 10:30 Uhr",,0,C1001245664
2025-04-28T14:56:52Z,"23.04.2025, 10:30 Uhr",,20,C1001243775
2025-04-28T14:56:52Z,"23.04.2025, 12:15 Uhr",,70,C1001234344
2025-04-28T14:56:52Z,"23.04.2025, 12:15 Uhr",,0,C1001245119
2025-04-28T14:56:52Z,"23.04.2025, 10:30 Uhr","23.04.2025, 12:45 Uhr",0,C1001245664
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001235376
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001236506
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001233651
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001210005
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001210013
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001218140
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001218538
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001221250
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001218166
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001210021
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001214221
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001233809
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001238560
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001237067
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001232900
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001205337
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001230384
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001212762
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1001214213
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001218132
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1001249351
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001241589
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001212796
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001243543
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001247917
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001244822
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1098902996
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001216962
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001231647
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001202424
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001202870
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001203373
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001203597
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001208167
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001208787
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001209660
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001212324
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001212613
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001213033
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001214205
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001217663
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001219825
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001220814
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001221101
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001221987
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001224288
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001225369
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001227464
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001237231
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001237322
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001237851
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098681673
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098808003
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001228777
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001242470
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001249369
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1001227464
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001231382
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001222612
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001211045
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001244559
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001242199
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1001239005
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001245789
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001243626
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1001244781
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001204579
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 12:45 Uhr",0,C1001240466
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001242545
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001245383
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001202193
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001244038
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001247529
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001246290
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001245888
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001248874
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 12:45 Uhr",0,C1001247959
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001215592
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001247339
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001247842
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098774733
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098820122
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098893046
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1098894614
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr","23.04.2025, 09:45 Uhr",0,C1098902988
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr","23.04.2025, 12:45 Uhr",30,C1001249351
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001208612
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001215576
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001218116
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001237728
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001238990
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098554929
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098597440
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098603213
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098631892
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098631909
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098631925
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098631933
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098632072
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098632139
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098636470
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098637650
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098649241
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098671517
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098692224
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098696945
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098702700
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098712577
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1098727386
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001227464
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001239005
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr","23.04.2025, 12:45 Uhr",0,C1001244781
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001240466
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001233297
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr","23.04.2025, 12:45 Uhr",0,C1001214213
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001218132
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr","23.04.2025, 12:45 Uhr",0,C1001247959
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr",,0,C1001249351
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr","23.04.2025, 12:45 Uhr",0,C1098902996
2025-04-28T14:56:52Z,"23.04.2025, 12:45 Uhr","23.04.2025, 12:45 Uhr",0,C1098902988
2025-04-28T14:56:52Z,"23.04.2025, 10:30 Uhr","23.04.2025, 13:30 Uhr",20,C1001243775
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr","23.04.2025, 13:30 Uhr",50,C1001233619
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001235376
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001236506
2025-04-28T14:56:52Z,"23.04.2025, 09:45 Uhr",,0,C1001233651
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001210005
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001210013
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001218140
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001218538
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001221250
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001218166
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001210021
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001214221
